"Format","AiM CSV File"
"Session","Aravete"
"Vehicle","20 - Parolin Kart TM 60 2022"
"Racer","Ralf Rahkema"
"Championship","EMV1"
"Comment","77 hammakas rõühk 0.77"
"Date","Saturday, July 13, 2024"
"Time","9:00 AM"
"Sample Rate","20"
"Duration","470"
"Segment","Session"
"Beacon Markers","5.497","57.869","107.67","156.923","207.86","256.755","306.001","355.16","404.799","470"
"Segment Times","0:05.497","0:52.372","0:49.801","0:49.253","0:50.937","0:48.895","0:49.246","0:49.159","0:49.639","1:05.201"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Exhaust Temp","Internal Battery","RPM"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","°C","V","rpm"

"5.150","48.2184","15","0.4573","0.2910","-0.9742","153.7664","19.2709","105.3241","8.0000","0.1200","39.8226","59.12433315","25.74601902","16.0","348.2","0.0","7379"
"5.200","48.8755","15","0.4129","0.2807","-0.8519","154.8192","17.2180","105.3739","7.9000","0.1200","45.1782","59.12432746","25.74602396","16.0","349.0","0.0","7363"
"5.250","49.4484","15","0.3821","0.2568","-0.8346","155.4980","15.7741","105.3809","7.9000","0.1300","49.8917","59.12432189","25.74602871","16.0","350.0","0.0","7457"
"5.300","49.9049","15","0.3605","0.2413","-0.7520","156.3134","14.7488","105.4098","7.8250","0.1325","53.8525","59.12431612","25.74603334","16.0","351.0","0.0","7482"
"5.350","50.2961","15","0.3505","0.2314","-0.6724","157.2074","14.2176","105.4327","7.8000","0.1300","56.3024","59.12431017","25.74603786","16.0","351.8","0.0","7571"
"5.400","50.6930","15","0.3312","0.2152","-0.6085","157.7806","13.3263","105.4485","7.8000","0.1200","60.5423","59.12430425","25.74604247","16.0","352.5","0.0","7600"
"5.450","50.9306","15","0.3130","0.2070","-0.5390","158.3127","12.5025","105.4712","7.7500","0.1200","64.8340","59.12429823","25.74604697","16.0","353.5","0.0","7675"
"5.500","51.0269","15","0.2973","0.2119","-0.4915","158.6786","11.7904","105.4974","7.7000","0.1200","68.8794","59.12429215","25.74605142","16.0","354.2","0.0","7721"
"5.550","51.5493","15","0.2759","0.2091","-0.4651","159.2258","10.8622","105.5174","7.7000","0.1200","75.5307","59.12428599","25.74605563","16.0","355.0","0.0","7801"
"5.600","52.1208","15","0.2367","0.2019","-0.4312","159.8906","9.2534","105.5237","7.6750","0.1225","89.6459","59.12427968","25.74605988","16.0","355.5","0.0","7833"
"5.650","52.5933","14","0.2227","0.2158","-0.3928","160.5502","8.6466","105.5203","7.6000","0.1300","96.8072","59.12427335","25.74606386","16.0","356.5","0.0","7944"
"5.700","52.9123","14","0.2224","0.2483","-0.3644","160.9615","8.5711","105.5216","7.6000","0.1300","98.2520","59.12426708","25.74606801","16.0","357.0","0.0","7963"
"5.750","53.0725","13","0.2228","0.2704","-0.3579","161.4214","8.5155","105.5163","7.6000","0.1300","99.1929","59.12426081","25.74607200","16.0","358.0","0.0","8092"
"5.800","53.7147","14","0.2282","0.2960","-0.2960","161.4468","8.6386","105.5266","7.6000","0.1300","98.9622","59.12425432","25.74607599","16.0","358.5","0.0","8122"
"5.850","54.3971","14","0.2388","0.3009","-0.2559","161.9408","8.9577","105.5437","7.5500","0.1300","96.6495","59.12424772","25.74608005","16.0","359.5","0.0","8175"
"5.900","54.9763","14","0.2336","0.2956","-0.2405","162.2829","8.6774","105.5462","7.5000","0.1300","100.8338","59.12424108","25.74608400","16.0","360.2","0.0","8261"
"5.950","55.3987","14","0.2277","0.2796","-0.2124","162.7342","8.3761","105.5523","7.5000","0.1300","105.2638","59.12423439","25.74608779","16.0","361.2","0.0","8321"
"6.000","55.8119","14","0.2190","0.2693","-0.1801","163.3749","7.9861","105.5584","7.5000","0.1275","111.2277","59.12422756","25.74609133","16.0","362.2","0.0","8403"
"6.050","56.5042","14","0.2113","0.2729","-0.1275","164.0665","7.6396","105.5833","7.4500","0.1200","117.7138","59.12422063","25.74609499","16.0","363.2","0.0","8472"
"6.100","56.9026","14","0.2045","0.2821","-0.1029","164.2856","7.3297","105.5966","7.4000","0.1200","123.5561","59.12421374","25.74609860","16.0","364.5","0.0","8530"
